Respondent_ID,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10
Student_001,4,5,4,4,5,4,5,5,5,4
Student_002,5,5,5,4,5,4,4,5,5,5
Student_003,4,4,5,5,4,5,4,5,5,5
Student_004,5,4,5,4,5,5,5,5,4,4
Student_005,4,4,5,4,4,5,5,4,4,5
Student_006,4,5,4,4,4,4,5,4,4,4
Student_007,4,4,4,4,4,5,5,5,5,5
Student_008,4,4,5,5,5,5,5,5,5,4
Student_009,5,4,5,4,5,4,5,4,4,4
Student_010,4,4,5,4,4,4,5,4,5,5
Student_011,4,4,4,4,5,5,4,4,5,5
Student_012,5,4,4,5,5,5,4,4,4,5
Student_013,5,5,4,4,4,4,4,4,4,4
Student_014,4,4,4,4,5,4,4,5,4,4
Student_015,5,5,4,4,4,4,5,4,5,5
Student_016,5,4,4,4,4,4,4,4,4,4
Student_017,4,5,5,4,5,4,5,5,4,4
Student_018,4,4,5,5,5,4,4,5,5,4
Student_019,4,4,4,4,5,5,4,5,5,5
Student_020,4,4,5,5,5,4,5,4,5,4
Student_021,5,5,4,4,5,5,5,5,5,4
Student_022,4,4,5,4,4,5,4,4,4,4
Student_023,4,4,5,4,5,5,5,4,5,4
Student_024,4,5,4,4,4,5,5,4,5,5
Student_025,5,4,5,5,5,4,4,4,4,5
Student_026,5,5,4,4,4,4,4,5,4,5
Student_027,4,5,4,5,5,5,4,4,4,4
Student_028,5,4,5,5,5,5,4,5,5,5
Student_029,4,5,5,5,4,4,5,4,4,5
Student_030,5,5,5,4,4,4,5,5,5,5
Student_031,5,4,5,5,5,4,5,5,4,4
Student_032,5,4,4,5,5,5,5,5,4,5
Student_033,4,4,5,5,5,5,4,4,4,4
Student_034,4,5,4,4,4,5,5,5,4,4
Student_035,4,5,5,5,5,5,5,4,4,4
Student_036,5,5,4,4,4,5,4,5,5,5
Student_037,4,4,4,4,4,4,5,4,5,4
Student_038,5,5,5,4,4,4,5,4,4,4
Student_039,4,5,4,5,5,4,5,4,5,5
Student_040,4,4,5,5,4,4,4,4,5,4
Student_041,4,4,4,4,4,4,5,4,5,4
Student_042,5,5,5,4,5,5,4,4,4,5
Student_043,5,4,5,4,4,4,5,4,4,5
Student_044,4,5,5,4,5,5,5,5,4,4
Student_045,4,4,4,4,4,5,5,5,4,5
Student_046,5,5,4,4,5,4,5,5,4,5
Student_047,4,4,4,5,4,5,4,4,4,5
Student_048,4,4,4,4,5,5,5,5,4,5
Student_049,4,4,4,4,4,4,5,4,4,5
Student_050,4,4,5,4,4,4,5,5,4,5
Student_051,4,5,4,5,5,5,5,5,4,4
Student_052,5,4,4,5,4,5,4,4,4,4
Student_053,4,5,5,5,5,4,4,4,5,4
Student_054,4,4,5,4,4,5,5,4,4,4
Student_055,5,5,4,5,4,4,5,4,5,4
Student_056,5,5,4,4,5,4,4,4,4,4
Student_057,5,5,4,4,4,4,5,5,4,4
Student_058,5,5,5,4,4,5,4,4,4,4
Student_059,5,5,5,4,5,5,5,4,5,4
Student_060,5,5,4,5,4,4,5,4,4,5
Student_061,4,5,4,4,5,5,4,4,4,4
Student_062,5,4,5,4,4,5,4,5,5,4
Student_063,5,5,5,5,5,4,4,4,4,5
Student_064,4,4,5,5,4,5,5,4,5,5
Student_065,5,5,5,5,5,4,4,5,4,5
Student_066,4,4,4,5,4,4,4,5,4,5
Student_067,5,5,5,4,5,4,5,5,4,4
Student_068,4,4,5,4,4,4,5,4,5,4
Student_069,5,4,5,4,5,4,5,4,5,4
Student_070,5,4,4,5,4,5,4,4,4,5
Student_071,4,4,4,5,4,5,5,5,5,4
Student_072,4,5,5,4,4,5,5,4,5,4
Student_073,5,5,4,4,5,5,5,5,4,5
Student_074,5,5,5,5,5,4,5,4,5,5
Student_075,5,5,5,4,4,5,4,5,4,5
Student_076,4,4,4,4,5,5,5,5,4,5
Student_077,4,4,5,4,5,4,4,5,5,5
Student_078,4,5,4,5,4,4,4,4,5,5
Student_079,4,5,5,5,4,4,4,5,5,4
Student_080,4,5,5,5,5,5,5,4,5,5
Student_081,4,4,4,4,4,5,4,5,4,5
Student_082,5,5,5,4,5,4,5,4,5,4
Student_083,5,5,4,4,4,5,5,4,5,5
Student_084,5,4,4,5,4,5,4,4,5,5
Student_085,4,5,4,5,4,5,5,5,4,4
Student_086,4,4,5,5,4,5,5,5,5,5
Student_087,5,5,4,5,4,5,5,5,4,4
Student_088,5,4,4,4,5,5,5,4,4,4
Student_089,5,4,4,5,5,5,4,5,4,4
Student_090,4,4,4,4,5,5,4,5,5,4
Student_091,4,4,4,4,4,5,4,4,5,4
Student_092,4,4,5,5,5,4,5,5,4,4
Student_093,4,4,5,4,5,4,4,4,5,4
Student_094,5,5,4,5,4,5,4,5,5,5
Student_095,5,5,4,5,5,5,4,4,4,5
Student_096,4,4,5,4,4,4,4,4,4,4
Student_097,4,4,5,4,5,4,4,4,4,4
Student_098,5,4,4,4,4,4,4,5,4,5
Student_099,4,5,5,4,5,5,5,5,4,5
Student_100,4,4,5,5,4,5,4,5,4,5
Student_101,4,5,5,5,4,4,5,5,5,4
Student_102,5,4,4,5,5,5,4,4,5,4
Student_103,5,5,5,4,4,4,5,5,5,5
Student_104,5,5,4,5,4,5,5,4,4,5
Student_105,5,4,4,5,4,4,4,5,4,5
